station,meas_wse
4425.287,348.126
4424.287,348.126
4423.287,348.126
4422.287,348.126
4421.287,348.076
4420.286,348.126
4419.286,348.126
4418.286,348.126
4417.286,348.126
4416.286,348.126
4415.285,348.126
4414.285,348.126
4413.285,348.126
4412.285,348.026
4411.285,348.126
4410.284,348.076
4409.284,348.126
4408.284,348.126
4407.284,348.126
4406.284,348.076
4405.283,348.026
4404.283,347.975
4403.283,347.975
4402.283,347.975
4401.283,347.975
4400.282,348.026
4399.282,348.076
4398.282,348.026
4397.282,348.026
4396.282,348.026
4395.281,348.076
4394.281,348.076
4393.281,348.026
4392.281,348.026
4391.281,348.076
